# ENTITIES
entity_name,source_id,graph_data
5G network usage,chunk-9168201d4eac75ddffe0059a4394bb79,"{'entity_id': '5G network usage', 'entity_type': 'category', 'description': 'A wireless communication technology providing significantly faster data speeds but potentially higher energy consumption when multiple networks are used simultaneously.', 'source_id': 'chunk-9168201d4eac75ddffe0059a4394bb79', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'AAC', 'entity_type': 'category', 'description': 'Widespread Bluetooth audio codec that supports various data rates and formats', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
AAC Bluetooth High-Quality Audio Codec,chunk-8c10ba86f3c652add8c1d23db1a9625b,"{'entity_id': 'AAC Bluetooth High-Quality Audio Codec', 'entity_type': 'category', 'description': 'An alternative audio coding system, typically found in iOS devices like iPhones, utilized for streaming music or voice data.', 'source_id': 'chunk-8c10ba86f3c652add8c1d23db1a9625b', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Bluetooth high-quality audio codec,chunk-8c10ba86f3c652add8c1d23db1a9625b,"{'entity_id': 'AAC Bluetooth high-quality audio codec', 'entity_type': 'category', 'description': 'AAC is an alternative audio coding system, commonly supported on iOS devices for streaming music and voice data.', 'source_id': 'chunk-8c10ba86f3c652add8c1d23db1a9625b', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC Support,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'AAC Support', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'description': 'Supports AAC for compatibility with a wide range of devices', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AAC and SBC,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'AAC and SBC', 'entity_type': 'organization', 'description': 'Audio formats that the Buds support for music playback.', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'file_path': 'unknown_source', 'created_at': 1749262937}"
AC mode,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'AC mode', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Supports.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
AI integration,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'AI integration', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'description': 'Integrates AI functionality into daily operations with voice commands and responses using the Watch Pro 2.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC,chunk-a1bc8f3ce2d2c5d835ffeade41737ee5<SEP>chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'ANC', 'entity_type': 'category', 'description': 'Active Noise Cancellation is a feature on Ear (1) that cancels out unwanted background noise while using microphones.<SEP>Adaptive Noise Cancellation technology used in headphones to reduce external sound.', 'source_id': 'chunk-a1bc8f3ce2d2c5d835ffeade41737ee5<SEP>chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
ANC (Active Noise Cancellation),chunk-716596cbb2a7e8b3702d6ceb7f52724e<SEP>chunk-93607977c7e870361284500bad913d36,"{'entity_id': 'ANC (Active Noise Cancellation)', 'entity_type': 'category', 'description': 'A feature found in various headphones that helps reduce ambient noise by creating opposing sound waves. The Neckband Pro supports ANC.<SEP>ANC refers to technology that cancels out background noise for a more immersive listening experience.', 'source_id': 'chunk-716596cbb2a7e8b3702d6ceb7f52724e<SEP>chunk-93607977c7e870361284500bad913d36', 'file_path': 'unknown_source', 'created_at': 1749262937}"
ANC ON,chunk-026c9aac607d8ab10d1f5ae9d51556e9,"{'entity_id': 'ANC ON', 'entity_type': 'organization', 'description': 'ANC ON is an application that controls and activates noise cancellation in earbuds.', 'source_id': 'chunk-026c9aac607d8ab10d1f5ae9d51556e9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC and hybrid noise cancellation,chunk-ecb83fc961a06d6a2e205ffa27cd9700,"{'entity_id': 'ANC and hybrid noise cancellation', 'source_id': 'chunk-ecb83fc961a06d6a2e205ffa27cd9700', 'description': 'The Buds Pro earbuds have active noise cancellation (ANC) feature which reduces up to 42dB of background noise.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
ANC mode,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'ANC mode', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Feature offering.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
About phone,chunk-36249177cb5d5f7c720a6f64a0edc813<SEP>chunk-34426e6693364728fe244fbfe87a0629,"{'entity_id': 'About phone', 'entity_type': 'organization', 'description': ""Accessing About Phone typically displays system information and firmware version.<SEP>Information about the device's hardware, software versions, and manufacturing details."", 'source_id': 'chunk-36249177cb5d5f7c720a6f64a0edc813<SEP>chunk-34426e6693364728fe244fbfe87a0629', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Active Noise Cancellation,chunk-26891fa7fbcc5e292dab7ce65ee89518<SEP>chunk-1e7514c9c486c31232321ac43b9689ae<SEP>chunk-3a9c603ca72c28f9a9a34c1ddfef9b9c,"{'entity_id': 'Active Noise Cancellation', 'entity_type': 'category', 'description': 'Ear (2) earbuds come with ANC technology that can reduce unwanted background noise by up to 40db.<SEP>Eliminates external noise for an immersive listening experience.<SEP>The Active Noise Cancellation feature aims to reduce ambient noise during usage.', 'source_id': 'chunk-26891fa7fbcc5e292dab7ce65ee89518<SEP>chunk-1e7514c9c486c31232321ac43b9689ae<SEP>chunk-3a9c603ca72c28f9a9a34c1ddfef9b9c', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Active Noise Cancellation (ANC),chunk-b6a5e79a49bc7db2a612f28136aee41c,"{'entity_id': 'Active Noise Cancellation (ANC)', 'entity_type': 'function', 'description': 'A technology used in headphones which reduces or cancels out external noise.', 'source_id': 'chunk-b6a5e79a49bc7db2a612f28136aee41c', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Activity Score,chunk-c923c17927fa4e291cc287467061e0cf,"{'entity_id': 'Activity Score', 'entity_type': 'category', 'description': 'Activity Score represents a comprehensive assessment of physical condition based on heart rate data and daily activity intensity.', 'source_id': 'chunk-c923c17927fa4e291cc287467061e0cf', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Actual battery life,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'Actual battery life', 'entity_type': 'category', 'description': 'Variable performance based on usage habits and environmental factors.', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Adaptor,chunk-e598990cce04e756caad38b82dbe3eca,"{'entity_id': 'Adaptor', 'entity_type': 'organization', 'description': 'An electronic device used to convert AC power into DC power for charging devices.', 'source_id': 'chunk-e598990cce04e756caad38b82dbe3eca', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Advanced features,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'Advanced features', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Offers.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Advanced sound processing,chunk-c8e8ce97e9623a3206989beb9bb64519,"{'entity_id': 'Advanced sound processing', 'source_id': 'chunk-c8e8ce97e9623a3206989beb9bb64519', 'description': 'Leverages.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Aesthetic Design,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'Aesthetic Design', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'description': 'Contributes to the sleek appearance of the charging case', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Airplane mode,chunk-7c7e41b65ef7bcc80c8f1decc9bf2928,"{'entity_id': 'Airplane mode', 'entity_type': 'category', 'description': 'A setting on devices that disables the use of cellular data, Wi-Fi and Bluetooth to conserve power or block external connectivity.', 'source_id': 'chunk-7c7e41b65ef7bcc80c8f1decc9bf2928', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Alarm,chunk-34426e6693364728fe244fbfe87a0629<SEP>chunk-8cd614c63bd30923f007ff94a3e7a5d9<SEP>chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'Alarm', 'entity_type': 'category', 'description': 'An alarm that triggers the device to make noise after a set time for notification purposes.<SEP>An everyday tool provided by the Watch Pro 2 that alerts users at scheduled times.<SEP>The Alarm is a notification feature that reminds users at specific times.', 'source_id': 'chunk-34426e6693364728fe244fbfe87a0629<SEP>chunk-8cd614c63bd30923f007ff94a3e7a5d9<SEP>chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Alarm Creation,chunk-c14c96115117369f38094721a77a31ad,"{'entity_id': 'Alarm Creation', 'entity_type': 'process', 'description': ""Procedure to set reminders and alarms within the device's clock application."", 'source_id': 'chunk-c14c96115117369f38094721a77a31ad', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Alarms,chunk-128e66067604ae44825d98ba3ed45122,"{'entity_id': 'Alarms', 'entity_type': 'category', 'description': 'An everyday tool provided by the Watch Pro 2 for setting reminders at specific times.', 'source_id': 'chunk-128e66067604ae44825d98ba3ed45122', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Alex,chunk-cbeb4732200e7559b14badeb7c65f47c,"{'entity_id': 'Alex', 'entity_type': 'person', 'description': 'A character experiencing frustration and observing dynamics among other characters.', 'source_id': 'chunk-cbeb4732200e7559b14badeb7c65f47c', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Algorithm Conditions,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'Algorithm Conditions', 'entity_type': 'category', 'description': 'Specific requirements that must be met during earphone wear to activate the Smart ANC algorithm.', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Ambient Light Automatic Brightness Adjustment,chunk-2666978485c7758b69e3c834ba80fefe,"{'entity_id': 'Ambient Light Automatic Brightness Adjustment', 'source_id': 'chunk-2666978485c7758b69e3c834ba80fefe', 'description': 'The Watch Pro 2 has a feature that automatically adjusts screen brightness based on ambient light conditions.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android,chunk-6165e1e8378c1118b98626013d6262b7<SEP>chunk-ffe8e5cdde2af69f64b8ce3b5c683676<SEP>chunk-d52fb5275de8c3b54cbe38e612348505<SEP>chunk-5d866982ab2e7ced6661f8a940789dee<SEP>chunk-ff9ab0e6b0a19cc3df9b2e42e60f607f<SEP>chunk-6e908dc520371478d52528beaf43780b<SEP>chunk-93607977c7e870361284500bad913d36,"{'entity_id': 'Android', 'entity_type': 'category', 'description': ""Android is a popular mobile operating system developed by Google, primarily designed for smartphones and tablets (Entity: Android). It's widely used across various devices from different manufacturers, making it a versatile choice in the tech industry (Description 2). The system can support numerous applications, such as the Nothing X app which can be downloaded on compatible Android devices (Description 3). Android is an open-source mobile operating system that aligns with Google-developed instructions for device operations (Description 4), and it's recognized for its openness that allows extensive customization according to user preferences (Description 5). Being designed primarily for touchscreen-based mobile devices like smartphones and tablets, Android combines Google's innovation with the flexibility of customization options, catering to a broad range of users from diverse backgrounds (Description 6). It can be found on some mobile phones which are compatible with specific setup procedures provided by manufacturers or directly supported by Google (Final Description)."", 'source_id': 'chunk-6165e1e8378c1118b98626013d6262b7<SEP>chunk-ffe8e5cdde2af69f64b8ce3b5c683676<SEP>chunk-d52fb5275de8c3b54cbe38e612348505<SEP>chunk-5d866982ab2e7ced6661f8a940789dee<SEP>chunk-ff9ab0e6b0a19cc3df9b2e42e60f607f<SEP>chunk-6e908dc520371478d52528beaf43780b<SEP>chunk-93607977c7e870361284500bad913d36', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Android 5.0,chunk-242b40fbdd789fce17cd5d53222cb91d,"{'entity_id': 'Android 5.0', 'entity_type': 'category', 'description': 'Minimum operating system requirement for Android devices compatible with CMF Buds Pro 2.', 'source_id': 'chunk-242b40fbdd789fce17cd5d53222cb91d', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Android 5.0+,chunk-27081652ef7a553b2a6096008ef80269,"{'entity_id': 'Android 5.0+', 'entity_type': 'category', 'description': 'The NOTHING X app is supported on Android versions 5.0 or later.', 'source_id': 'chunk-27081652ef7a553b2a6096008ef80269', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android 5.1,chunk-026c9aac607d8ab10d1f5ae9d51556e9,"{'entity_id': 'Android 5.1', 'entity_type': 'event', 'description': 'The minimum version requirement for Android devices to use Ear (a) earbuds.', 'source_id': 'chunk-026c9aac607d8ab10d1f5ae9d51556e9', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android Auto,chunk-63b51e206cee412c86265f35f8120e9d,"{'entity_id': 'Android Auto', 'entity_type': 'category', 'description': 'Android Auto is a platform by Google that enables phone applications to run on car infotainment systems.<SEP>Android Auto is developed by Google, integrating smartphone apps directly into the automotive environment.', 'source_id': 'chunk-63b51e206cee412c86265f35f8120e9d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android Auto platform,chunk-63b51e206cee412c86265f35f8120e9d,"{'entity_id': 'Android Auto platform', 'entity_type': 'category', 'description': 'Android Auto is a system that integrates smartphone functionality into in-car entertainment systems.', 'source_id': 'chunk-63b51e206cee412c86265f35f8120e9d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android Device,chunk-762fda66ccc0b9dd4cae96c4b09a2422,"{'entity_id': 'Android Device', 'entity_type': 'category', 'description': ""Android Devices encompass various devices powered by Google's Android OS, like mobile phones, tablets, or smartwatches."", 'source_id': 'chunk-762fda66ccc0b9dd4cae96c4b09a2422', 'file_path': 'unknown_source', 'created_at': 1749262935}"
Android Phone,chunk-762fda66ccc0b9dd4cae96c4b09a2422,"{'entity_id': 'Android Phone', 'entity_type': 'category', 'description': ""A mobile device running Google's Android operating system."", 'source_id': 'chunk-762fda66ccc0b9dd4cae96c4b09a2422', 'file_path': 'unknown_source', 'created_at': 1749262935}"
Android Play Store,chunk-852b3a0efad903b6a432ebd5e7a404af,"{'entity_id': 'Android Play Store', 'entity_type': 'organization', 'description': 'Android Play Store offers a platform to download the CMF Watch app on Android devices.', 'source_id': 'chunk-852b3a0efad903b6a432ebd5e7a404af', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android System,chunk-946e2c39d383e3255fe1b3a1508733e8,"{'entity_id': 'Android System', 'entity_type': 'category', 'description': 'An operating system for smartphones, tablets, and other computing devices developed by Google.', 'source_id': 'chunk-946e2c39d383e3255fe1b3a1508733e8', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Android device,chunk-93607977c7e870361284500bad913d36,"{'entity_id': 'Android device', 'entity_type': 'organization', 'description': 'An Android device refers to any mobile phone or tablet running the open-source operating system developed by Google. Users can download the Nothing X app on their devices for downloading accessories and managing the Neckband Pro.', 'source_id': 'chunk-93607977c7e870361284500bad913d36', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Android devices,chunk-f8b23107caad65d85305805a37ddbe28<SEP>chunk-e2ea28975423f6227a8330d76c202878,"{'entity_id': 'Android devices', 'entity_type': 'category', 'description': 'Android devices are compatible with LDAC technology and can be paired with CMF Buds Pro 2.<SEP>Android is a mobile operating system developed by Google for smartphones and tablets. The Nothing X app can be downloaded on Android devices from the Google Play store.', 'source_id': 'chunk-f8b23107caad65d85305805a37ddbe28<SEP>chunk-e2ea28975423f6227a8330d76c202878', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Android phone,chunk-6165e1e8378c1118b98626013d6262b7,"{'entity_id': 'Android phone', 'source_id': 'chunk-6165e1e8378c1118b98626013d6262b7', 'description': ""Preparing an Android phone for the data transfer process includes ensuring it's on the latest software and having its charging cable available, alongside setting up WiFi or a mobile network connection."", 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Android users,chunk-06e37afdf610d89a09df8901349a725e,"{'entity_id': 'Android users', 'entity_type': 'category', 'description': 'Category describing Android operating system users.', 'source_id': 'chunk-06e37afdf610d89a09df8901349a725e', 'file_path': 'unknown_source', 'created_at': 1749262935}"
App Data,chunk-c14c96115117369f38094721a77a31ad,"{'entity_id': 'App Data', 'entity_type': 'category', 'description': 'Data associated with an app, including user information, settings, and application-specific files.', 'source_id': 'chunk-c14c96115117369f38094721a77a31ad', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App Data Management,chunk-c14c96115117369f38094721a77a31ad,"{'entity_id': 'App Data Management', 'entity_type': 'task', 'description': 'Activity involving organizing and deleting user data associated with apps.', 'source_id': 'chunk-c14c96115117369f38094721a77a31ad', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App Pinning Function,chunk-43c5f3a3b39a02f332e40eef921a1f87,"{'entity_id': 'App Pinning Function', 'source_id': 'chunk-43c5f3a3b39a02f332e40eef921a1f87', 'description': 'The app pinning function is an added feature on Nothing Phone which allows users to secure a particular application that needs protection', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App Store,chunk-852b3a0efad903b6a432ebd5e7a404af<SEP>chunk-93607977c7e870361284500bad913d36<SEP>chunk-e2ea28975423f6227a8330d76c202878,"{'entity_id': 'App Store', 'entity_type': 'organization', 'description': ""App Store provides a channel for iOS users to install and access the CMF Watch app.<SEP>The App Store is Apple's official digital distribution platform for iOS devices to download and install various applications. Users can use it to download the Nothing X app and manage their Neckband Pro through this application.<SEP>The App Store provides applications compatible with iOS and iPadOS, such as the Nothing X app."", 'source_id': 'chunk-852b3a0efad903b6a432ebd5e7a404af<SEP>chunk-93607977c7e870361284500bad913d36<SEP>chunk-e2ea28975423f6227a8330d76c202878', 'file_path': 'unknown_source', 'created_at': 1749262937}"
App Uninstall,chunk-c14c96115117369f38094721a77a31ad,"{'entity_id': 'App Uninstall', 'entity_type': 'event', 'description': 'Uninstalling an app involves removing it from the device to free up space or change user preferences.', 'source_id': 'chunk-c14c96115117369f38094721a77a31ad', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App Uninstallation,chunk-c14c96115117369f38094721a77a31ad,"{'entity_id': 'App Uninstallation', 'entity_type': 'process', 'description': 'Procedure for removing pre-installed applications from the device.', 'source_id': 'chunk-c14c96115117369f38094721a77a31ad', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App clone,chunk-63b51e206cee412c86265f35f8120e9d,"{'entity_id': 'App clone', 'entity_type': 'category', 'description': 'App clone refers to duplicating an existing application for various purposes.', 'source_id': 'chunk-63b51e206cee412c86265f35f8120e9d', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App info,chunk-36249177cb5d5f7c720a6f64a0edc813,"{'entity_id': 'App info', 'entity_type': 'organization', 'description': 'Accessing App Info provides details about an app, including its permissions and developers.', 'source_id': 'chunk-36249177cb5d5f7c720a6f64a0edc813', 'file_path': 'unknown_source', 'created_at': 1749262945}"
App locker,chunk-63b51e206cee412c86265f35f8120e9d<SEP>chunk-a6f1bc17eaf113f533442b214ae6b6dd,"{'entity_id': 'App locker', 'entity_type': 'category', 'description': 'App Locker is a feature that secures certain applications.<SEP>App locker enables a security feature that locks specific applications on smartphones, requiring authentication before access.', 'source_id': 'chunk-63b51e206cee412c86265f35f8120e9d<SEP>chunk-a6f1bc17eaf113f533442b214ae6b6dd', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Apple,chunk-abefe8b5c23aeae06eaa603651797d38,"{'entity_id': 'Apple', 'source_id': 'chunk-abefe8b5c23aeae06eaa603651797d38', 'description': 'Apple manufactures and markets the iPhone which competes with the Nothing Phone in the smartphone market.', 'entity_type': 'UNKNOWN', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Apple Device,chunk-ff9ab0e6b0a19cc3df9b2e42e60f607f,"{'entity_id': 'Apple Device', 'entity_type': 'organization', 'description': 'Devices made by Apple such as iPhones and other products which contain features like iMessage and FaceTime.', 'source_id': 'chunk-ff9ab0e6b0a19cc3df9b2e42e60f607f', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Apple Inc.,chunk-72fc3cd998dfb0b37a7905d75bf2fea8,"{'entity_id': 'Apple Inc.', 'entity_type': 'organization', 'description': 'Apple Inc. is responsible for developing and distributing proprietary software like iOS, which runs on products such as the Nothing Phone and influences its operation.', 'source_id': 'chunk-72fc3cd998dfb0b37a7905d75bf2fea8', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Apple iOS 11+,chunk-27081652ef7a553b2a6096008ef80269,"{'entity_id': 'Apple iOS 11+', 'entity_type': 'category', 'description': 'iOS compatibility for the NOTHING X app extends to versions 11 and above.', 'source_id': 'chunk-27081652ef7a553b2a6096008ef80269', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Apple's iOS,chunk-72fc3cd998dfb0b37a7905d75bf2fea8,"{'entity_id': ""Apple's iOS"", 'entity_type': 'category', 'description': 'iOS provides the operating system environment and core functionalities on devices like the Nothing Phone, affecting user interaction, software compatibility, security, privacy, and application management.', 'source_id': 'chunk-72fc3cd998dfb0b37a7905d75bf2fea8', 'file_path': 'unknown_source', 'created_at': 1749262945}"
Application Not Responding (ANR),chunk-946e2c39d383e3255fe1b3a1508733e8,"{'entity_id': 'Application Not Responding (ANR)', 'entity_type': 'event', 'description': 'A runtime error that occurs when an application does not respond to user input.', 'source_id': 'chunk-946e2c39d383e3255fe1b3a1508733e8', 'file_path': 'unknown_source', 'created_at': 1749262937}"
Application center,chunk-36249177cb5d5f7c720a6f64a0edc813,"{'entity_id': 'Application center', 'entity_type': 'organization', 'description': 'The Application Center is where users manage installed apps on their devices.', 'source_id': 'chunk-36249177cb5d5f7c720a6f64a0edc813', 'file_path': 'unknown_source', 'created_at': 1749262945}"
